game_id,event1,event2,event3,event4,event5,first_blood,blue_dragon,blue_tower_bot,blue_others,blue_adc_gp,blue_adc_wr,blue_adc_kda,red_dragon,red_tower_bot,red_others,red_adc_gp,red_adc_wr,red_adc_kda,winner
45930,first_blood,dragon,other,dragon,other,RED,1,0,2,1,0.0,4.0,1,0,0,3,0.33,5.67,RED
45936,dragon,other,first_blood,dragon,other,RED,2,0,1,3,1.0,3.33,0,0,1,0,0.0,0.0,RED
45937,first_blood,dragon,other,dragon,other,RED,0,0,1,1,1.0,1.17,2,0,1,2,0.0,4.4,RED
45938,first_blood,other,dragon,other,other,RED,0,0,1,0,0.0,0.0,1,0,2,3,0.67,5.17,RED
45939,first_blood,dragon,other,dragon,tower_bot,RED,2,1,0,0,0.0,0.0,0,0,1,0,0.0,0.0,BLUE
45940,first_blood,dragon,other,dragon,other,BLUE,1,0,1,1,1.0,10.0,1,0,1,1,0.0,1.25,BLUE
44917,first_blood,dragon,other,dragon,tower_bot,BLUE,2,0,1,0,0.0,0.0,0,1,0,0,0.0,0.0,RED
44918,first_blood,other,dragon,other,dragon,BLUE,1,0,1,0,0.0,0.0,1,0,1,0,0.0,0.0,BLUE
44919,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,1,0,0.0,0.0,1,1,0,1,1.0,4.67,BLUE
44920,dragon,other,first_blood,dragon,other,RED,0,0,1,0,0.0,0.0,2,0,1,0,0.0,0.0,RED
44921,dragon,first_blood,other,dragon,other,BLUE,2,0,1,0,0.0,0.0,0,0,1,0,0.0,0.0,RED
45941,dragon,first_blood,other,dragon,other,BLUE,2,0,1,0,0.0,0.0,0,0,1,2,0.0,4.4,BLUE
44923,dragon,first_blood,other,dragon,other,RED,0,0,1,0,0.0,0.0,2,0,1,4,0.5,6.62,RED
44924,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,1,0,0.0,0.0,1,1,0,0,0.0,0.0,BLUE
44925,first_blood,other,dragon,tower_bot,other,RED,0,1,0,0,0.0,0.0,1,0,2,0,0.0,0.0,RED
44926,first_blood,dragon,other,dragon,other,BLUE,1,0,1,1,1.0,2.0,1,0,1,0,0.0,0.0,RED
45942,other,dragon,first_blood,other,dragon,BLUE,0,0,1,0,0.0,0.0,2,0,1,0,0.0,0.0,BLUE
45943,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,1,3,1.0,3.33,1,1,0,1,0.0,1.67,RED
46463,first_blood,other,dragon,tower_bot,dragon,BLUE,0,0,1,1,1.0,0.5,2,1,0,0,0.0,0.0,RED
46464,first_blood,dragon,other,dragon,other,RED,0,0,1,0,0.0,0.0,2,0,1,1,0.0,6.0,BLUE
46465,first_blood,other,dragon,other,other,BLUE,0,0,1,2,0.5,5.67,1,0,2,1,1.0,10.0,RED
46466,first_blood,dragon,other,dragon,other,BLUE,0,0,2,1,0.0,2.33,2,0,0,2,0.5,2.57,RED
46467,dragon,other,first_blood,tower_bot,dragon,BLUE,0,0,0,0,0.0,0.0,2,1,1,1,0.0,1.67,RED
46469,first_blood,dragon,other,dragon,tower_bot,RED,0,0,0,1,1.0,3.0,2,1,1,1,1.0,2.5,RED
46470,first_blood,dragon,other,dragon,tower_bot,BLUE,1,0,1,2,1.0,18.0,1,1,0,0,0.0,0.0,BLUE
46471,first_blood,other,dragon,dragon,other,RED,1,0,1,1,0.0,10.0,1,0,1,2,1.0,9.33,RED
46472,dragon,first_blood,other,dragon,tower_bot,RED,0,0,0,0,0.0,0.0,2,1,1,1,0.0,2.25,RED
47511,first_blood,dragon,other,dragon,tower_bot,BLUE,2,1,1,4,0.75,6.86,0,0,0,0,0.0,0.0,BLUE
